id,name,screen_name,location,followers_count,friends_count,follower_of,followed_by
876929295196737536,Mountain West Wire,MWCwire,Mountain West,3159,905,,harshi10589
20263183,San Jose State Athletics,SJSUAthletics,"San Jose, CA",13321,405,,harshi10589
1944328207,San José State Football,SJSUSpartanFB,"San Jose, CA",15574,1959,,harshi10589
3624543614,Tanniru Venkatesh,Venkatesh_Offcl,"Guntur, India",13,97,,harshi10589
813286,Barack Obama,BarackObama,"Washington, DC",107060061,613340,,harshi10589
18681139,PRIYANKA,priyankachopra,,24986352,545,,harshi10589
4828792720,Steve Waugh,PHSCoachWaugh,,133,141,,harshi10589
475671194,Steve Waugh Fan Page,WaughSR,,717,10,,harshi10589
2855255702,Anil Kumble,anilkumble1074,"Bengaluru, India",4189543,268,,harshi10589
777460501492006912,Anushka Shetty,AnushkaMySoul07,Worldwide ,45521,7,,harshi10589
138002210,DK,DineshKarthik,Chennai,998191,31,,harshi10589
1288050427,Irfan Pathan,IrfanPathan,"Vadodra, Gujarat, India",4806274,113,,harshi10589
2810785386,Yusuf Pathan,iamyusufpathan,"Vododara, India",991076,160,,harshi10589
132556818,Manish Pandey,im_manishpandey,"Bengaluru, India",563706,38,,harshi10589
1533597631,Robin Aiyuda Uthappa,robbieuthappa,,682346,44,,harshi10589
447977892,Yuzvendra Chahal,yuzi_chahal,,839766,208,,harshi10589
2440051333,Kuldeep yadav,imkuldeep18,India,655445,89,,harshi10589
1614696542,Mohammad Shami,MdShami11,,1003125,261,,harshi10589
858720042938249216,Jasprit Bumrah,Jaspritbumrah93,"Ahmedabad city ,India",1466014,24,,harshi10589
99918503,Ishant Sharma,ImIshant,Delhi,2225083,60,,harshi10589
321866313,Umesh Yaadav,y_umesh,,2343511,36,,harshi10589
1035100758,Bhuvneshwar Kumar,BhuviOfficial,"Uttar Pradesh, India",1792156,33,,harshi10589
309824558,cheteshwar pujara,cheteshwar1,,2204093,32,,harshi10589
1469065189,K L Rahul,klrahul11,"Bengaluru, India",2669424,67,,harshi10589
1026332905,Star Sports,StarSportsIndia,India,4399070,249,,harshi10589
135421739,Sachin Tendulkar,sachin_rt,"ÜT: 18.986431,72.823769",29695526,79,,harshi10589
368186169,hardik pandya,hardikpandya7,baroda,3856054,115,,harshi10589
361315016,Ajinkya Rahane,ajinkyarahane88,Mumbai,5480356,68,,harshi10589
15639696,IndianPremierLeague,IPL,"Mumbai, India",6556776,115,,harshi10589
185142711,BCCI,BCCI,India,9118644,69,,harshi10589
2708915372,Sourav Ganguly,SGanguly99,,4145052,51,,harshi10589
139876086,AB de Villiers,ABdeVilliers17,"South Africa, Pretoria",6648097,259,,harshi10589
45452226,Chris Gayle,henrygayle,,4344056,56,,harshi10589
2911000602,Shikhar Dhawan,SDhawan25,India,3878579,62,,harshi10589
2500955780,VVS Laxman,VVSLaxman281,India,6530775,316,,harshi10589
71201743,Virat Kohli,imVkohli,,30495190,51,,harshi10589
60937837,Subramanian Swamy,Swamy39,,8021679,124,,harshi10589
97217966,Nitin Gadkari,nitin_gadkari,www.nitingadkari.org,5233255,138,,harshi10589
18839785,Narendra Modi,narendramodi,India,48531714,2202,,harshi10589
2226496302,Tamannaah Bhatia,tamannaahspeaks,,3927605,180,,harshi10589
63085307,Jay Galla,JayGalla,"Guntur, India",268693,214,,harshi10589
2684512929,Ram Mohan Naidu K,RamMNK,"Srikakulam, Andhra Pradesh",40961,282,,harshi10589
88859982,Lokesh Nara,naralokesh,"Amaravati, Andhra Pradesh",612970,39,,harshi10589
59425706,Pooja Hegde,hegdepooja,"Mumbai today,tomorrow d world",1930658,88,,harshi10589
1296642259,Varun Tej Konidela,IAmVarunTej,Hyderabad,2117085,46,,harshi10589
482790866,Sudheer Babu,isudheerbabu,hyderabad,621643,137,,harshi10589
274818554,Sushanth A,iamSushanthA,Facebook.com/iamsushanth,615531,124,,harshi10589
120998613,Sumanth,iSumanth,"Hyderabad, India",1169367,42,,harshi10589
136947257,bhaskarabhatla,bhaskarabhatla,"hyderabad, india",67319,65,,harshi10589
138376066,nithiin,actor_nithiin,,2593729,47,,harshi10589
144622747,Akhil Akkineni,AkhilAkkineni8,,2462793,80,,harshi10589
120990817,Nagarjuna Akkineni,iamnagarjuna,hyderabad,5770850,1,,harshi10589
111871312,Rana Daggubati,RanaDaggubati,"Hyderabad, India",5725365,287,,harshi10589
